,Country (or area),Subregion,Region,Total wealth(USD bn),% of world,Wealth to GDPratio[3](2017–19)
0,World,World,World,454385,,—
1,Asia and Oceania,Asia and Oceania,Asia and Oceania,177824,,—
2,Northern America,Northern America,Northern America,151170,,—
3,United States *,Northern America,Americas,139866,,5.493
4,Europe,Europe,Europe,104410,,—
5,China *,Eastern Asia,Asia,84485,,4.470
6,Japan *,Eastern Asia,Asia,22582,,4.918
7,Germany *,Western Europe,Europe,17426,,3.797
8,United Kingdom *,Northern Europe,Europe,15972,,5.069
9,France,Western Europe,Europe,15727,,5.028
10,India *,Southern Asia,Asia,15365,,4.392
11,Latin America and the Caribbean,Latin America and the Caribbean,Americas,15071,,—
12,Canada *,Northern America,Americas,11263,,4.937
13,Italy *,Southern Europe,Europe,11020,,5.669
14,South Korea *,Eastern Asia,Asia,9890,,—
15,Australia *,"Australia, New Zealand",Oceania,9720,,5.157
16,Spain *,Southern Europe,Europe,8487,,5.577
17,Africa,Africa,Africa,5909,,—
18,Taiwan *,Eastern Asia,Asia,5422,,—
19,Netherlands *,Western Europe,Europe,4869,,4.104
20,Mexico *,Northern America,Americas,4863,,2.129
21,Switzerland *,Western Europe,Europe,4829,,5.514
22,Brazil *,South America,Americas,4628,,1.921
23,Russia *,Eastern Europe,Europe,4386,,1.795
24,Hong Kong *,Eastern Asia,Asia,3493,,8.384
25,Indonesia *,South-eastern Asia,Asia,3256,,1.629
26,Belgium *,Western Europe,Europe,3195,,4.116
27,Iran *,Western Asia,Asia,3034,,1.707
28,Sweden *,Northern Europe,Europe,2335,,3.860
29,Saudi Arabia *,Western Asia,Asia,2268,,1.962
30,Singapore *,South-eastern Asia,Asia,1906,,3.712
31,Denmark *,Northern Europe,Europe,1869,,3.630
32,Austria *,Western Europe,Europe,1794,,4.381
33,Norway *,Northern Europe,Europe,1644,,2.717
34,Poland *,Eastern Europe,Europe,1592,,2.972
35,New Zealand *,"Australia, New Zealand",Oceania,1426,,5.181
36,Thailand *,South-eastern Asia,Asia,1421,,2.134
37,Israel *,Western Asia,Asia,1368,,2.739
38,Portugal *,Southern Europe,Europe,1324,,4.598
39,Egypt *,Southern Africa,Africa,1249,,2.900
40,United Arab Emirates *,Western Asia,Asia,1242,,2.189
41,Bangladesh *,Southern Asia,Asia,1079,,2.304
42,Turkey *,Western Asia,Asia,1041,,1.780
43,Vietnam *,South-eastern Asia,Asia,1017,,3.043
44,Philippines *,South-eastern Asia,Asia,1011,,2.501
45,South Africa *,Northern Africa,Africa,926,,2.191
46,Ireland *,Northern Europe,Europe,913,,2.447
47,Greece *,Southern Europe,Europe,890,,4.131
48,Finland *,Northern Europe,Europe,792,,2.952
49,Chile *,South America,Americas,779,,2.002
50,Czech Republic *,Central Europe,Europe,770,,2.366
51,Kazakhstan *,Central Asia,Asia,720,,1.761
